"pulled_at","season","week","team","pos","player","player_id","status","rule","note"
"2026-09-24T21:46:13Z","2026","3","KC","QB","Patrick Mahomes","00-0033873","","nflverse schedule",""
"2026-09-24T21:46:13Z","2026","3","BAL","QB","Lamar Jackson","00-0034796","","nflverse schedule",""
"2026-09-24T21:46:52Z","2026","3","HOU","K","Ka'imi Fairbairn","00-0032726","","weekly run (status check only)",""
"2026-09-24T21:46:52Z","2026","3","NO","K","Daniel Carlson","00-0034161","","weekly run (status check only)",""
"2026-09-24T21:46:52Z","2026","3","DAL","K","Brandon Aubrey","00-0037692","","weekly run (status check only)",""
"2026-09-24T21:46:52Z","2026","3","SF","K","Eddy Pineiro","00-0034173","","weekly run (status check only)",""
"2026-09-24T21:46:52Z","2026","3","DET","K","Jake Bates","00-0039172","","weekly run (status check only)",""
"2026-09-24T21:46:52Z","2026","3","KC","K","Harrison Butker","00-0033303","","weekly run (status check only)",""
"2026-09-24T21:46:52Z","2026","3","SEA","K","Jason Myers","00-0031492","","weekly run (status check only)",""
"2026-09-24T21:46:52Z","2026","3","CIN","K","Evan McPherson","00-0036854","","weekly run (status check only)",""
"2026-09-24T21:46:52Z","2026","3","MIN","K","Will Reichard","00-0039404","","weekly run (status check only)",""
"2026-09-24T21:46:52Z","2026","3","TB","K","Chase McLaughlin","00-0035358","","weekly run (status check only)",""
"2026-09-24T21:46:52Z","2026","3","JAX","K","Cam Little","00-0039409","","weekly run (status check only)",""
"2026-09-24T21:46:52Z","2026","3","BUF","K","Tyler Bass","00-0036162","","weekly run (status check only)",""
"2026-09-24T21:46:52Z","2026","3","PHI","K","Jake Elliott","00-0033787","","weekly run (status check only)",""
"2026-09-24T21:46:52Z","2026","3","BAL","K","Tyler Loop","00-0040074","","weekly run (status check only)",""
"2026-09-24T21:46:52Z","2026","3","PIT","K","Chris Boswell","00-0031136","","weekly run (status check only)",""
"2026-09-24T21:46:52Z","2026","3","IND","K","Spencer Shrader","00-0039576","","weekly run (status check only)",""
"2026-09-24T21:46:52Z","2026","3","NYJ","K","Jason Sanders","00-0034794","","weekly run (status check only)",""
"2026-09-24T21:46:52Z","2026","3","LV","K","Matt Gay","00-0035269","","weekly run (status check only)",""
"2026-09-24T21:46:52Z","2026","3","GB","K","Trey Smack","00-0040899","","weekly run (status check only)",""
"2026-09-24T21:46:52Z","2026","3","LA","K","Harrison Mevis","00-0039498","","weekly run (status check only)",""
"2026-09-24T21:46:52Z","2026","3","DEN","K","Wil Lutz","00-0032569","","weekly run (status check only)",""
"2026-09-24T21:46:52Z","2026","3","ATL","K","Nick Folk","00-0025565","","weekly run (status check only)",""
"2026-09-24T21:46:52Z","2026","3","LAC","K","Cameron Dicker","00-0037224","","weekly run (status check only)",""
"2026-09-24T21:46:52Z","2026","3","CAR","K","Ryan Fitzgerald","00-0040279","","weekly run (status check only)",""
"2026-09-24T21:46:52Z","2026","3","CLE","K","Andre Szmyt","00-0038428","","weekly run (status check only)",""
"2026-09-24T21:46:52Z","2026","3","NE","K","Andy Borregales","00-0040200","","weekly run (status check only)",""
"2026-09-24T21:46:52Z","2026","3","CHI","K","Cairo Santos","00-0031203","Questionable","weekly run (status check only)",""
"2026-09-24T21:46:52Z","2026","3","NYG","K","Dominic Zvada","00-0041145","","weekly run (status check only)",""
"2026-09-24T21:46:52Z","2026","3","ARI","K","Chad Ryland","00-0038567","","weekly run (status check only)",""
"2026-09-24T21:46:52Z","2026","3","TEN","K","Joey Slye","00-0035192","","weekly run (status check only)",""
"2026-09-24T21:46:52Z","2026","3","MIA","K","Riley Patterson","00-0036816","","weekly run (status check only)",""
"2026-09-24T21:46:52Z","2026","3","WAS","K","Drew Stevens","00-0041182","","weekly run (status check only)",""
